Anime Name,Rating,Episodes
A-Channel,6.81,12/12
A-Channel: +A-Channel,0.00,11/11
A-Channel+smile,0.00,2/2
A-Girl,0.00,1/1
A-Ko The Versus,0.00,2/2
A.I.C.O.: Incarnation,8.95,12/12
A3! Season Spring & Summer,0.00,7/12
Aa! Megami-sama!,6.91,5/5
Aa! Megami-sama! (2011),7.01,2/3
Aa! Megami-sama! (TV),7.39,24/24
Aa! Megami-sama! (TV) Specials,0.00,2/3
Aa! Megami-sama!: Sorezore no Tsubasa,8.26,22/22
Aa! Megami-sama!: Tatakau Tsubasa,0.00,2/2
Aachi wa Ssipak,0.00,1/1
Abarenbou Rikishi!! Matsutarou,0.00,23/23
Abashiri Ikka,0.00,4/4
Abenobashi Mahou☆Shoutengai,0.00,13/13
Absolute Duo,8.63,12/12
ACCA: 13-ku Kansatsu-ka,8.56,12/12
ACCA: 13-ku Kansatsu-ka Specials,0.00,6/6
Accel World,7.84,24/24
Accel World EX,0.00,2/2
Accel World: Acchel World.,7.76,8/8
Accel World: Infinite∞Burst,0.00,1/1
Acchi Kocchi (TV),7.37,12/12
Acchi Kocchi (TV): Place=Princess,0.00,1/1
Ace wo Nerae!,0.00,4/26
Ace wo Nerae! (1979),0.00,1/1
